-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::to         0.80%     178.134ms        26.88%        5.989s      29.705us       0.000us         0.00%        2.097s      10.399us      24.66 Kb       1.27 Kb      28.15 Gb     459.33 Mb        201607  
                                         aten::_to_copy         1.61%     357.939ms        26.45%        5.894s     151.615us       0.000us         0.00%        2.110s      54.271us      24.66 Kb         284 b      28.15 Gb           0 b         38874  
                                           aten::linear         0.94%     209.466ms        20.28%        4.518s     121.447us       0.000us         0.00%        2.007s      53.942us           0 b           0 b       5.24 Gb     135.80 Mb         37198  
                                          aten::normal_        15.52%        3.459s        15.53%        3.461s     865.214ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                           aten::matmul         2.80%     623.261ms        13.91%        3.100s      64.967us       0.000us         0.00%        2.432s      50.968us           0 b           0 b      12.89 Gb           0 b         47709  
                                    aten::empty_strided         1.95%     434.102ms        12.90%        2.875s      73.528us       0.000us         0.00%       0.000us       0.000us      24.39 Kb      24.39 Kb      28.15 Gb      28.15 Gb         39100  
                                            aten::copy_         1.96%     435.874ms        12.27%        2.734s      68.910us        2.040s        36.04%        2.115s      53.307us           0 b           0 b           0 b           0 b         39674  
                                       cudaLaunchKernel        10.84%        2.416s        10.84%        2.416s       8.958us     471.128ms         8.32%     471.128ms       1.747us           0 b           0 b           0 b           0 b        269700  
                       cudaDeviceGetStreamPriorityRange        10.19%        2.271s        10.19%        2.271s        2.271s       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                        cudaMemcpyAsync         8.52%        1.899s         8.52%        1.899s       1.731ms       1.026ms         0.02%       1.026ms       0.935us           0 b           0 b           0 b           0 b          1097  
